number_of_sentences,number_of_words,average_sentence_lenght,average_word_lenght,nltk_sentiment,subjectivity,number_of_future_verbs,number_of_premise_conclusion_markers,dictionary_percentage,number_of_discourse_markers
56.0,1081.0,19.303571428571427,4.719703977798335,-0.055431372549019614,0.4578603896103897,6.0,4.0,0.8233117483811286,47
21.0,538.0,25.61904761904762,4.657992565055762,0.16111578947368424,0.39154265873015875,1.0,3.0,0.7973977695167286,19
54.0,1070.0,19.814814814814813,4.82429906542056,-0.01722307692307692,0.344619845695795,4.0,2.0,0.8448598130841122,48
3.0,90.0,30.0,5.033333333333333,0.23156666666666667,0.37755102040816324,0.0,3.0,0.8777777777777778,3
1.0,41.0,41.0,4.2439024390243905,-0.3182,0.45777777777777773,0.0,2.0,0.6585365853658537,1
14.0,101.0,7.214285714285714,4.188118811881188,0.15553,0.34500000000000003,0.0,1.0,0.7326732673267327,1
55.0,1147.0,20.854545454545455,4.977332170880558,0.0790673076923077,0.4591284565774361,8.0,4.0,0.8901482127288579,46
18.0,347.0,19.27777777777778,4.881844380403458,0.13205625000000001,0.3010919540229885,2.0,3.0,0.8760806916426513,21
20.0,415.0,20.75,5.016867469879518,0.09611578947368421,0.42193181818181824,2.0,2.0,0.8,24
12.0,214.0,17.833333333333332,4.747663551401869,-0.09657272727272727,0.3671717171717172,1.0,3.0,0.7850467289719626,8
28.0,632.0,22.571428571428573,4.9034810126582276,0.282472,0.512536075036075,2.0,3.0,0.7784810126582279,22
44.0,83.0,1.8863636363636365,5.734939759036145,0.010666666666666666,0.4159090909090909,0.0,2.0,0.3253012048192771,0
58.0,749.0,12.913793103448276,3.9332443257676903,0.11710204081632652,0.46844725140179666,0.0,2.0,0.87716955941255,44
6.0,99.0,16.5,5.191919191919192,-0.06455999999999999,0.35701298701298706,0.0,2.0,0.8282828282828283,4
1.0,28.0,28.0,3.75,0.0,0.55,0.0,2.0,0.35714285714285715,1
111.0,1980.0,17.83783783783784,4.608080808080808,-0.0685811320754717,0.45302204109022287,0.0,3.0,0.8803030303030303,90
100.0,1492.0,14.92,4.543565683646112,0.03533333333333334,0.4053745822079156,3.0,3.0,0.8579088471849866,79
2.0,33.0,16.5,5.212121212121212,0.35015,0.3887445887445887,0.0,1.0,0.7272727272727273,1
1.0,24.0,24.0,4.75,-0.9095,0.42500000000000004,0.0,1.0,0.125,1
6.0,59.0,9.833333333333334,4.694915254237288,0.1591,0.425,0.0,1.0,0.6101694915254238,2
1.0,24.0,24.0,4.75,-0.9095,0.42500000000000004,0.0,1.0,0.125,1
1.0,15.0,15.0,4.466666666666667,0.2481,0.75,0.0,0.0,0.2,1
9.0,204.0,22.666666666666668,5.235294117647059,-0.11916666666666667,0.48371530430353954,0.0,3.0,0.8725490196078431,8
29.0,481.0,16.586206896551722,4.8170478170478175,-0.1638409090909091,0.5548154707245615,0.0,2.0,0.7775467775467776,19
1.0,24.0,24.0,4.75,-0.9095,0.42500000000000004,0.0,1.0,0.125,1
7.0,164.0,23.428571428571427,4.713414634146342,-0.0875142857142857,0.24083333333333332,1.0,4.0,0.8048780487804879,13
1.0,24.0,24.0,4.75,-0.9095,0.42500000000000004,0.0,1.0,0.125,1
2.0,17.0,8.5,4.235294117647059,0.0,0.0,0.0,1.0,0.7058823529411765,1
43.0,760.0,17.674418604651162,4.325,0.20157560975609756,0.4009820374430765,6.0,2.0,0.8565789473684211,31
38.0,593.0,15.605263157894736,4.440134907251265,0.053205405405405415,0.38233428757622295,1.0,2.0,0.8499156829679595,36
37.0,371.0,10.027027027027026,5.032345013477089,0.25734,0.4256410256410256,5.0,2.0,0.7277628032345014,16
1.0,24.0,24.0,4.625,0.2023,0.0,0.0,1.0,0.9166666666666666,1
8.0,204.0,25.5,4.764705882352941,-0.1842,0.25879629629629625,0.0,3.0,0.8921568627450981,8
53.0,940.0,17.735849056603772,4.881914893617021,-0.171118,0.36283100233100224,1.0,2.0,0.8617021276595744,52
57.0,1136.0,19.92982456140351,5.276408450704225,0.17705581395348838,0.4553337573732309,8.0,4.0,0.8089788732394366,39
41.0,849.0,20.70731707317073,4.376914016489988,0.13911219512195122,0.4298668503213957,2.0,4.0,0.8197879858657244,42
28.0,560.0,20.0,5.107142857142857,0.08340370370370369,0.4309332824038707,3.0,3.0,0.8607142857142858,21
12.0,320.0,26.666666666666668,5.278125,-0.3044909090909091,0.30744047619047615,0.0,4.0,0.853125,11
1.0,28.0,28.0,3.75,0.0,0.55,0.0,2.0,0.35714285714285715,1
12.0,238.0,19.833333333333332,4.684873949579832,-0.41437272727272734,0.2174242424242424,0.0,3.0,0.8865546218487395,10
40.0,529.0,13.225,4.901701323251418,0.16516785714285714,0.3802134646962233,1.0,2.0,0.8071833648393195,28
1.0,23.0,23.0,4.3478260869565215,-0.1027,0.05,0.0,0.0,0.43478260869565216,0
39.0,566.0,14.512820512820513,3.9681978798586575,0.1005032258064516,0.4450869236583523,1.0,2.0,0.8551236749116607,24
95.0,219.0,2.305263157894737,6.082191780821918,0.0076359999999999996,0.2611570247933884,0.0,2.0,0.3242009132420091,0
12.0,72.0,6.0,4.236111111111111,0.039775,0.5625,0.0,1.0,0.5694444444444444,1
1.0,23.0,23.0,4.3478260869565215,-0.1027,0.05,0.0,0.0,0.43478260869565216,0
32.0,584.0,18.25,4.554794520547945,0.17148,0.3966368452975596,3.0,3.0,0.827054794520548,27
15.0,211.0,14.066666666666666,4.507109004739337,0.11316666666666665,0.525357142857143,1.0,3.0,0.7203791469194313,11
13.0,254.0,19.53846153846154,4.783464566929134,-0.39402857142857145,0.3384615384615385,0.0,3.0,0.7677165354330708,8
123.0,2263.0,18.398373983739837,4.4206805125939015,0.11857345132743365,0.46455052883624315,9.0,3.0,0.8029164825452939,105
1.0,24.0,24.0,4.75,-0.9095,0.42500000000000004,0.0,1.0,0.125,1
40.0,927.0,23.175,5.0151024811218985,-0.0995361111111111,0.4112912210338681,2.0,3.0,0.8457389428263214,38
11.0,96.0,8.727272727272727,4.489583333333333,0.30161666666666664,0.5583333333333335,0.0,1.0,0.65625,2
18.0,440.0,24.444444444444443,5.127272727272727,0.02344375,0.39669449598021034,1.0,3.0,0.7545454545454545,17
1.0,28.0,28.0,3.75,0.0,0.55,0.0,2.0,0.35714285714285715,1
35.0,416.0,11.885714285714286,4.298076923076923,0.05263478260869565,0.44232568027210883,3.0,3.0,0.7235576923076923,22
16.0,251.0,15.6875,5.00796812749004,0.16737272727272726,0.37037037037037035,1.0,2.0,0.7131474103585658,11
7.0,140.0,20.0,4.7,-0.13954999999999998,0.2787878787878788,1.0,2.0,0.8357142857142857,7
91.0,683.0,7.5054945054945055,4.313323572474378,-0.08372261904761905,0.45269732364071985,12.0,3.0,0.8594436310395315,31
46.0,1043.0,22.67391304347826,5.188878235858102,-0.13606341463414634,0.4066829004329005,4.0,2.0,0.8302972195589645,34
31.0,324.0,10.451612903225806,4.5,0.26638947368421056,0.5471333333333334,0.0,3.0,0.6697530864197531,19
79.0,1271.0,16.088607594936708,4.75531077891424,-0.10956212121212121,0.4320223665223665,6.0,3.0,0.8434303697875688,64
67.0,1313.0,19.597014925373134,4.610814927646611,0.13791311475409834,0.43724232837869204,1.0,5.0,0.8750952018278751,64
36.0,642.0,17.833333333333332,5.186915887850467,-0.03225882352941176,0.33193082427776305,0.0,2.0,0.8115264797507789,39
31.0,101.0,3.2580645161290325,6.475247524752476,0.17554999999999998,0.6125541125541126,0.0,2.0,0.5247524752475248,1
7.0,133.0,19.0,4.323308270676692,0.17038,0.4666666666666666,0.0,2.0,0.7218045112781954,6
15.0,231.0,15.4,4.445887445887446,0.1269,0.3819696969696969,0.0,3.0,0.8138528138528138,15
2.0,17.0,8.5,4.235294117647059,0.0,0.0,0.0,1.0,0.7058823529411765,1
1.0,23.0,23.0,4.3478260869565215,-0.1027,0.05,0.0,0.0,0.43478260869565216,0
13.0,257.0,19.76923076923077,5.0505836575875485,0.17753,0.2509624304267162,0.0,2.0,0.8599221789883269,7
8.0,68.0,8.5,5.088235294117647,-0.025675,0.4314625850340136,0.0,1.0,0.7205882352941176,3
29.0,502.0,17.310344827586206,5.0,0.11289285714285714,0.39995941558441556,1.0,3.0,0.8665338645418327,20
21.0,465.0,22.142857142857142,4.440860215053763,0.43503125,0.56040174331841,1.0,5.0,0.9204301075268817,23
10.0,147.0,14.7,4.659863945578231,-0.026037500000000005,0.3883333333333333,0.0,3.0,0.7891156462585034,6
2.0,23.0,11.5,5.130434782608695,-0.7217,0.4,0.0,1.0,0.8695652173913043,1
18.0,412.0,22.88888888888889,5.194174757281553,0.09307058823529413,0.32754329004329014,0.0,3.0,0.8567961165048543,14
19.0,344.0,18.105263157894736,4.1395348837209305,0.5700764705882353,0.5204887218045112,1.0,2.0,0.877906976744186,13
19.0,437.0,23.0,4.951945080091533,0.2014111111111111,0.2642473118279569,1.0,4.0,0.8558352402745996,20
7.0,133.0,19.0,5.12781954887218,-0.5152857142857142,0.44814814814814813,0.0,2.0,0.9172932330827067,9
25.0,278.0,11.12,4.776978417266187,-0.08583913043478261,0.5010262725779967,0.0,2.0,0.8453237410071942,13
6.0,52.0,8.666666666666666,4.480769230769231,0.18352,0.375,0.0,2.0,0.6346153846153846,1
46.0,1045.0,22.717391304347824,5.182775119617225,-0.1228170731707317,0.4123390498390499,4.0,2.0,0.8287081339712918,34
1.0,28.0,28.0,3.75,0.0,0.55,0.0,2.0,0.35714285714285715,1
45.0,727.0,16.155555555555555,4.290233837689134,0.21012380952380955,0.41958601163146614,3.0,5.0,0.8982118294360385,32
51.0,414.0,8.117647058823529,4.42512077294686,-0.024656,0.450297619047619,0.0,2.0,0.6908212560386473,24
8.0,83.0,10.375,4.831325301204819,-0.05332,0.36000000000000004,0.0,2.0,0.6265060240963856,1
9.0,181.0,20.11111111111111,4.232044198895028,0.025411111111111107,0.42666666666666664,1.0,3.0,0.8011049723756906,8
48.0,929.0,19.354166666666668,4.98815931108719,-0.11932093023255816,0.5280339934236039,3.0,3.0,0.9063509149623251,43
2.0,25.0,12.5,5.96,0.3454,0.9,0.0,1.0,0.08,1
8.0,198.0,24.75,5.257575757575758,-0.17302499999999998,0.4390625,1.0,2.0,0.8484848484848485,7
57.0,780.0,13.68421052631579,4.824358974358974,0.0702875,0.4460225048923678,1.0,4.0,0.7923076923076923,32
45.0,903.0,20.066666666666666,4.709856035437431,-0.08453571428571428,0.4224990981240979,0.0,3.0,0.8538205980066446,37
18.0,474.0,26.333333333333332,5.1645569620253164,0.043822222222222235,0.3338985088985089,2.0,3.0,0.8312236286919831,19
28.0,750.0,26.785714285714285,4.581333333333333,0.014015384615384614,0.5343359187109188,3.0,3.0,0.8893333333333333,27
16.0,350.0,21.875,4.728571428571429,0.21093571428571428,0.4934523809523811,0.0,3.0,0.7885714285714286,14
31.0,648.0,20.903225806451612,4.783950617283951,-0.006248148148148155,0.4125929102344196,0.0,4.0,0.8734567901234568,27
38.0,338.0,8.894736842105264,4.627218934911243,0.21424193548387094,0.5347101972101973,0.0,2.0,0.7869822485207101,13
52.0,951.0,18.28846153846154,4.700315457413249,0.26515625000000004,0.39158526658526643,6.0,3.0,0.7907465825446898,43
72.0,883.0,12.26388888888889,4.733861834654586,0.02807090909090909,0.42348904496863676,1.0,3.0,0.8233295583238958,40
33.0,699.0,21.181818181818183,5.145922746781116,-0.06456206896551725,0.35075847763347767,4.0,2.0,0.8125894134477826,35
8.0,251.0,31.375,4.896414342629482,0.47495,0.36833333333333335,0.0,3.0,0.8645418326693227,8
16.0,170.0,10.625,4.523529411764706,0.009846153846153846,0.32797619047619053,2.0,2.0,0.6647058823529411,5
53.0,789.0,14.88679245283019,4.318124207858048,-0.03032444444444445,0.49219576719576724,3.0,2.0,0.8187579214195184,33
19.0,388.0,20.42105263157895,4.814432989690721,0.2322923076923077,0.5725481415136587,1.0,3.0,0.865979381443299,10
1.0,26.0,26.0,4.961538461538462,-0.8555,0.5111111111111111,0.0,1.0,0.9230769230769231,1
151.0,2215.0,14.668874172185431,4.642889390519187,0.2054125,0.5228887351964274,3.0,4.0,0.7968397291196389,106
39.0,755.0,19.358974358974358,4.927152317880795,0.04548947368421052,0.3065908518289471,0.0,4.0,0.8940397350993378,31
36.0,830.0,23.055555555555557,4.9879518072289155,0.20400645161290326,0.5024379129642287,1.0,2.0,0.8542168674698796,30
17.0,270.0,15.882352941176471,4.4037037037037035,0.007468749999999996,0.46884615384615397,4.0,2.0,0.7777777777777778,13
19.0,359.0,18.894736842105264,4.994428969359332,0.22871764705882355,0.40520833333333334,3.0,3.0,0.8802228412256268,16
45.0,853.0,18.955555555555556,4.157092614302462,-0.08225609756097561,0.537150606595051,1.0,4.0,0.8569753810082064,43
46.0,896.0,19.47826086956522,4.580357142857143,0.09022894736842105,0.29434457818604165,0.0,3.0,0.8314732142857143,41
16.0,418.0,26.125,4.401913875598086,0.25610666666666665,0.4179421768707483,2.0,4.0,0.8827751196172249,15
11.0,96.0,8.727272727272727,4.4375,0.1835,0.36749639249639254,0.0,2.0,0.6875,5
12.0,196.0,16.333333333333332,4.23469387755102,0.03398888888888888,0.5452380952380953,0.0,2.0,0.8163265306122449,9
61.0,518.0,8.491803278688524,4.638996138996139,0.07708363636363638,0.4522489705416536,0.0,2.0,0.6312741312741312,9
11.0,210.0,19.09090909090909,4.614285714285714,-0.048222222222222236,0.16666666666666666,1.0,3.0,0.7952380952380952,10
19.0,476.0,25.05263157894737,5.642857142857143,0.3582277777777778,0.3129645760743322,0.0,2.0,0.7521008403361344,27
28.0,591.0,21.107142857142858,4.412859560067682,0.15776190476190477,0.5322203163712598,2.0,2.0,0.8307952622673435,30
40.0,667.0,16.675,4.539730134932534,-0.018810256410256417,0.45328541479484874,5.0,2.0,0.8680659670164917,32
1.0,28.0,28.0,3.75,0.0,0.55,0.0,2.0,0.35714285714285715,1
6.0,47.0,7.833333333333333,4.319148936170213,0.0979,0.0,0.0,3.0,0.6170212765957447,1
14.0,96.0,6.857142857142857,4.739583333333333,0.0555625,0.33999999999999997,0.0,1.0,0.5833333333333334,3
10.0,208.0,20.8,4.625,-0.16611250000000002,0.3785579004329004,5.0,2.0,0.8605769230769231,8
6.0,69.0,11.5,4.231884057971015,0.1722666666666667,0.5813131313131313,0.0,2.0,0.7971014492753623,3
17.0,370.0,21.764705882352942,5.467567567567568,-0.08548666666666666,0.33449494949494946,0.0,2.0,0.8216216216216217,11
74.0,1489.0,20.12162162162162,4.767629281396911,-0.2287573529411765,0.31596424766527864,6.0,4.0,0.8670248488918737,67
64.0,1784.0,27.875,5.492152466367713,0.06055272727272731,0.34359397079604326,1.0,3.0,0.8323991031390134,74
42.0,980.0,23.333333333333332,4.837755102040816,0.0354219512195122,0.47790024303182194,4.0,2.0,0.8418367346938775,41
6.0,64.0,10.666666666666666,4.75,0.32072500000000004,0.4398148148148148,0.0,1.0,0.671875,1
48.0,769.0,16.020833333333332,4.9414824447334205,-0.010522222222222226,0.45381343193843193,0.0,4.0,0.7802340702210663,28
2.0,22.0,11.0,4.181818181818182,-0.6303000000000001,1.0,0.0,0.0,0.22727272727272727,2
41.0,934.0,22.78048780487805,4.894004282655247,0.09310555555555555,0.3843303053958792,5.0,2.0,0.8790149892933619,35
8.0,147.0,18.375,4.653061224489796,-0.2194375,0.48527777777777775,1.0,2.0,0.9047619047619048,6
25.0,393.0,15.72,4.977099236641221,0.5186000000000001,0.2370967741935484,4.0,2.0,0.8625954198473282,24
6.0,55.0,9.166666666666666,4.545454545454546,-0.056575,0.375,0.0,2.0,0.6727272727272727,4
63.0,978.0,15.523809523809524,4.623721881390593,0.11466538461538461,0.4393046316826805,3.0,3.0,0.8353783231083844,43
72.0,1047.0,14.541666666666666,4.9761222540592165,0.1548634920634921,0.44205042924555127,0.0,4.0,0.8443170964660937,55
23.0,364.0,15.826086956521738,5.123626373626373,-0.0816727272727273,0.4816534391534391,2.0,2.0,0.8736263736263736,13
38.0,902.0,23.736842105263158,4.9977827050997785,-0.06064444444444444,0.35277322404371586,2.0,3.0,0.8104212860310421,39
1.0,24.0,24.0,4.75,-0.9095,0.42500000000000004,0.0,1.0,0.125,1
9.0,257.0,28.555555555555557,4.583657587548638,-0.1567,0.28665099268547545,2.0,2.0,0.8404669260700389,8
51.0,1014.0,19.88235294117647,4.768244575936883,0.2231875,0.4354111477245806,1.0,3.0,0.8678500986193294,47
6.0,46.0,7.666666666666667,4.239130434782608,0.0193,0.425,0.0,1.0,0.5869565217391305,1
5.0,39.0,7.8,4.282051282051282,0.0,0.40151515151515155,0.0,1.0,0.717948717948718,0
